entA	entB	We
2801	10434	1
2801	54550	1
2801	79165	1
2801	54927	1
2801	1974	1
2801	56904	1
2801	463	1
2801	11099	1
2801	146705	1
2801	51760	1
2801	79169	1
2801	3848	1
2801	90799	1
2801	23526	1
2801	4698	1
2801	80273	1
2801	51382	1
2801	29966	1
2801	999	1
2801	10525	1
2801	79048	1
2801	7168	1
2801	509	1
2801	6576	1
2801	9126	1
2801	539	1
2801	8502	1
2801	6801	1
2801	5862	1
2801	9321	1
2801	51164	1
2801	3029	1
2801	23352	1
2801	81876	1
2801	9550	1
2801	8825	1
2801	988	1
2801	84894	1
2801	8065	1
2801	84932	1
2801	54734	1
2801	50804	1
6558	6421	1
6558	3845	1
6558	821	1
6558	999	1
6558	27347	1
6558	3916	1
2906	4734	1
2906	1398	1
2906	1487	1
5802	5792	1
5802	5789	1
5802	5217	1
5802	25843	1
5802	11021	1
5802	8499	1
5802	7204	1
5802	8541	1
5802	7280	1
5792	387	1
5792	2534	1
5792	1915	1
5792	3320	1
5792	2597	1
5792	60	1
5792	8499	1
5792	10910	1
5792	3312	1
5792	5910	1
5792	10383	1
5792	3313	1
5792	3939	1
5792	10376	1
5792	9181	1
5792	284069	1
5792	10801	1
5792	498	1
5792	3945	1
5792	8294	1
5792	8366	1
5792	114294	1
5792	7204	1
5792	9475	1
5792	38	1
5792	8541	1
5792	873	1
5792	3305	1
5789	8499	1
5789	1454	1
5789	274	1
5789	2011	1
5789	7204	1
5789	8541	1
5791	10458	1
5791	26999	1
5791	91662	1
5791	8936	1
5803	2534	1
5799	57731	1
5799	3868	1
5799	3872	1
23647	3866	1
23647	5879	1
23647	51100	1
23647	114569	1
23647	65009	1
23647	3868	1
23647	192683	1
23647	84289	1
23647	999	1
23647	6855	1
23647	382	1
23647	9522	1
23647	381	1
23647	377	1
5305	373156	1
5305	5707	1
91404	11075	1
91404	50807	1
91404	6812	1
91404	3925	1
91404	8618	1
961	140885	1
961	10326	1
6262	5566	1
6262	7415	1
6262	274	1
6262	1315	1
6262	5567	1
6262	2280	1
10961	29979	1
10961	63893	1
10961	11059	1
10961	6449	1
10961	811	1
10961	5291	1
998	5575	1
998	8476	1
998	396	1
998	5601	1
998	4649	1
998	5704	1
998	5062	1
998	3845	1
998	2	1
998	9093	1
998	10458	1
998	7316	1
998	57144	1
998	5910	1
998	9349	1
998	6146	1
998	6767	1
998	5879	1
998	8780	1
998	27145	1
998	116986	1
998	158358	1
998	4134	1
998	3916	1
998	94081	1
998	5291	1
5575	5573	1
5575	2932	1
5575	54906	1
5575	5566	1
5575	3799	1
5575	11140	1
5575	1329	1
5575	157922	1
5575	79165	1
5575	5019	1
5575	9465	1
5576	2810	1
5576	22919	1
5576	5660	1
5576	11214	1
5576	56993	1
5576	3916	1
5576	9804	1
5576	9590	1
5576	9495	1
5576	9465	1
387	10399	1
387	396	1
387	3845	1
387	55611	1
387	5910	1
387	5879	1
387	9181	1
387	116986	1
387	11113	1
387	3737	1
387	56899	1
387	6185	1
5924	51663	1
5594	5682	1
5594	4904	1
5594	2932	1
5594	2597	1
5594	476	1
5594	1509	1
5594	4137	1
5594	4155	1
5594	85358	1
5594	5515	1
5594	6812	1
5594	5595	1
5594	23513	1
5594	1399	1
5594	136319	1
5594	9588	1
5594	5604	1
5594	3856	1
5594	3791	1
5594	5144	1
5594	6720	1
5594	5526	1
5594	9662	1
5594	8682	1
5594	708	1
5594	7343	1
5594	7153	1
5594	8462	1
6773	5814	1
6773	23176	1
6773	23673	1
6773	81565	1
6773	23043	1
6773	3326	1
6773	5955	1
6773	999	1
6773	55832	1
6773	51138	1
5814	8907	1
23176	5413	1
23176	6711	1
23176	3845	1
23176	2	1
23176	7430	1
23176	989	1
23176	5414	1
2534	3190	1
2534	10657	1
2534	1213	1
2534	23136	1
2534	10236	1
2534	4734	1
2534	2954	1
2534	57142	1
2534	50807	1
2534	2902	1
2534	6622	1
2534	5062	1
2534	1499	1
2534	4137	1
2534	4155	1
2534	85358	1
2534	25	1
2534	23114	1
2534	23230	1
2534	22999	1
2534	1271	1
2534	2799	1
2534	6237	1
2534	2550	1
2534	27154	1
2534	2571	1
2534	2023	1
2534	11140	1
2534	6812	1
2534	9093	1
2534	57144	1
2534	10130	1
2534	3326	1
2534	9229	1
2534	55170	1
2534	1500	1
2534	30818	1
2534	2044	1
2534	3493	1
2534	9054	1
2534	8506	1
2534	675	1
2534	987	1
2534	8853	1
2534	9900	1
2273	9659	1
2273	6714	1
2273	274	1
2273	2023	1
2273	5516	1
2273	4000	1
2273	9590	1
5573	2932	1
5573	875	1
5573	5566	1
5573	3845	1
5573	5567	1
5573	821	1
5573	7381	1
5573	9495	1
5573	9465	1
9738	2932	1
9738	1398	1
9738	801	1
9738	22832	1
9738	80184	1
9738	4133	1
9738	10380	1
9738	5756	1
9738	9662	1
9738	23322	1
5781	10492	1
5781	23043	1
5781	6714	1
5781	5595	1
5781	1399	1
5781	3791	1
3190	10657	1
3190	10949	1
3190	10656	1
3190	202559	1
3190	27316	1
3190	4067	1
3190	10492	1
3190	6714	1
3190	3181	1
3190	11059	1
3190	1655	1
3190	26986	1
3190	9782	1
3190	93974	1
3190	999	1
3190	10550	1
3190	1821	1
3190	3191	1
23673	3845	1
23673	4000	1
23673	23786	1
23673	2054	1
23673	493856	1
23673	51075	1
23673	92344	1
23673	80331	1
23673	4131	1
23673	9342	1
23673	3916	1
23673	9515	1
23673	50804	1
23673	54842	1
8476	10627	1
8476	26135	1
8476	3845	1
8476	3192	1
8476	3006	1
10627	11113	1
10627	9475	1
88	5682	1
88	7277	1
88	10399	1
88	57554	1
88	26060	1
88	23513	1
88	87	1
88	5500	1
88	9172	1
88	54472	1
88	8294	1
88	8366	1
88	7846	1
5682	5683	1
5682	5684	1
5682	5685	1
5682	5687	1
5682	5690	1
5682	5689	1
5682	5691	1
5682	5693	1
5682	5694	1
5682	5695	1
5682	22924	1
5682	10656	1
5682	3866	1
5682	875	1
5682	7415	1
5682	5688	1
5682	5692	1
5682	55611	1
5682	23281	1
5682	22919	1
5682	10243	1
5682	4513	1
5682	4628	1
5682	2773	1
5682	87	1
5682	29922	1
5682	51100	1
5682	3860	1
5682	9454	1
5682	54550	1
5682	3880	1
5682	11077	1
5682	80273	1
5682	10525	1
5682	9126	1
5682	378	1
5682	3029	1
5682	81876	1
5682	7143	1
5682	5686	1
5683	5684	1
5683	5685	1
5683	5687	1
5683	5690	1
5683	5693	1
5683	5688	1
5683	9454	1
5684	5685	1
5684	5687	1
5684	5693	1
5684	3845	1
5684	5688	1
5684	5692	1
5684	25930	1
5684	22859	1
5684	10228	1
5684	1410	1
5684	3927	1
5684	3954	1
5684	527	1
5684	284069	1
5684	547	1
5684	9253	1
5685	5688	1
5687	5693	1
5687	5694	1
5687	5530	1
5687	5688	1
5687	146705	1
5687	6252	1
5687	5709	1
5690	5689	1
5690	5691	1
5690	5693	1
5690	3860	1
5689	5691	1
5689	5693	1
5689	5695	1
5689	11075	1
5689	22924	1
5689	3866	1
5689	5688	1
5689	5692	1
5689	23281	1
5689	56850	1
5689	152789	1
5689	3860	1
5689	79165	1
5689	54472	1
5689	55364	1
5689	818	1
5689	8396	1
5689	84908	1
5691	5693	1
5691	5694	1
5691	5695	1
5691	5688	1
5691	5692	1
5693	5694	1
5693	5695	1
5693	5692	1
5694	5695	1
5694	999	1
5694	7846	1
5695	5692	1
5695	2521	1
4904	2932	1
4904	10657	1
4904	7415	1
4904	7178	1
4904	5930	1
4904	63893	1
4904	3107	1
4904	3937	1
2932	1915	1
2932	6176	1
2932	3320	1
2932	2597	1
2932	51631	1
2932	2783	1
2932	6421	1
2932	55968	1
2932	581	1
2932	5210	1
2932	5566	1
2932	1499	1
2932	3799	1
2932	4137	1
2932	5530	1
2932	10059	1
2932	11140	1
2932	10243	1
2932	10724	1
2932	1786	1
2932	1808	1
2932	5567	1
2932	5578	1
2932	5579	1
2932	3032	1
2932	23205	1
2932	11033	1
2932	1622	1
2932	57731	1
2932	1500	1
2932	93974	1
2932	999	1
2932	3308	1
2932	6187	1
2932	7846	1
2932	5144	1
2932	51569	1
2932	10920	1
2932	6720	1
2932	4134	1
2932	57498	1
2932	11037	1
2932	84966	1
2932	7511	1
2932	57662	1
2932	80150	1
2932	4796	1
10657	10382	1
10657	10236	1
10657	60	1
10657	10656	1
10657	202559	1
10657	27316	1
10657	4067	1
10657	10492	1
10657	6714	1
10657	1399	1
10657	10243	1
10657	10381	1
10657	1655	1
10657	58155	1
10657	5339	1
10657	6447	1
10657	3161	1
1936	7178	1
1936	7316	1
1936	2617	1
1936	999	1
1936	3008	1
10093	10094	1
10093	10097	1
10093	10092	1
10093	10109	1
10093	57180	1
10093	81873	1
1915	6176	1
1915	5217	1
1915	5050	1
1915	5717	1
1915	11075	1
1915	7114	1
1915	8655	1
1915	9796	1
1915	23095	1
1915	6622	1
1915	3845	1
1915	6237	1
1915	54413	1
1915	310	1
1915	3098	1
1915	999	1
1915	249	1
1915	3336	1
1915	5427	1
1915	5911	1
6176	4905	1
6176	11165	1
6176	25874	1
6176	7178	1
6176	7323	1
6176	5516	1
6176	6194	1
6176	6181	1
6176	7280	1
6176	9551	1
3320	6189	1
3320	1780	1
3320	11140	1
3320	10910	1
3320	4035	1
3320	10728	1
3320	5567	1
3320	3326	1
3320	2768	1
3320	269	1
3320	5536	1
3320	2058	1
3320	8943	1
3320	91662	1
3320	7266	1
10382	8874	1
10382	1781	1
10382	51495	1
10382	5708	1
10382	57662	1
5217	1743	1
5217	4714	1
5217	71	1
5217	5413	1
5217	6449	1
5217	6204	1
5217	70	1
4905	51631	1
4905	3845	1
4905	821	1
4905	5780	1
4905	56993	1
4905	3916	1
4905	9804	1
4905	84987	1
4905	9568	1
2597	5050	1
2597	5717	1
2597	6622	1
2597	1020	1
2597	5052	1
2597	301	1
2597	310	1
2597	27063	1
2597	10529	1
2597	70	1
2597	5550	1
2597	22843	1
2597	5230	1
2597	2806	1
2597	4712	1
5050	5049	1
5050	10808	1
5050	63893	1
5050	7280	1
5050	84966	1
10606	25843	1
10606	11140	1
10606	999	1
10606	70	1
5717	5566	1
5717	55170	1
5717	9318	1
5717	7280	1
5717	84966	1
293	1114	1
293	10399	1
293	29888	1
293	26519	1
293	23281	1
293	26520	1
1114	4140	1
1114	29979	1
1114	310	1
1114	8301	1
1114	6647	1
1114	11343	1
1114	7280	1
1114	7343	1
1114	5908	1
1743	9131	1
1743	10383	1
1743	3329	1
1743	5163	1
1743	1327	1
1743	23256	1
1743	84987	1
1743	94081	1
1743	7280	1
1743	4336	1
7277	2026	1
7277	6136	1
7277	2771	1
7277	4137	1
7277	7846	1
7277	22933	1
51631	213	1
51631	4734	1
51631	81565	1
51631	11140	1
51631	8682	1
51631	8618	1
51631	55755	1
2026	10640	1
2026	2029	1
2026	2	1
2026	3098	1
2026	4134	1
2026	374291	1
2026	311	1
2026	89927	1
3798	7251	1
3798	81565	1
3798	4000	1
3798	9448	1
3798	9693	1
11165	6132	1
11165	27229	1
11165	3301	1
11165	54927	1
11165	6139	1
11165	7846	1
11165	4942	1
11165	7511	1
11165	780	1
5049	1398	1
5049	6175	1
5049	7203	1
26135	56341	1
26135	999	1
26135	6204	1
25843	7336	1
25843	5515	1
25843	4831	1
25843	4637	1
25843	5518	1
25843	29966	1
25843	55917	1
25843	6801	1
25843	23322	1
25843	57498	1
25843	9693	1
6136	7001	1
6136	63893	1
6136	6194	1
6136	7846	1
10399	8655	1
10399	23435	1
10399	11269	1
10399	6714	1
10399	29066	1
10399	125	1
10399	3188	1
10399	3692	1
10399	54472	1
10399	999	1
10399	5144	1
10399	57448	1
10399	43	1
6612	310	1
11075	5700	1
7336	7316	1
7336	821	1
7336	84966	1
217	216	1
217	23521	1
217	3329	1
217	3692	1
217	5163	1
217	3336	1
217	84966	1
306	84966	1
3728	396	1
3728	1499	1
3728	3845	1
3728	1832	1
3728	999	1
4700	3329	1
4700	5163	1
4700	84987	1
4700	9551	1
3039	1509	1
3039	80331	1
3039	537	1
3039	3043	1
3039	3045	1
3039	3046	1
3040	1509	1
3040	80331	1
3040	537	1
3040	3043	1
3040	3045	1
3040	3046	1
1213	27131	1
1213	1639	1
1213	5566	1
1213	6714	1
1213	5501	1
1213	3312	1
1213	80007	1
1213	1211	1
1213	164	1
1213	48	1
10540	1639	1
10540	22924	1
10540	7251	1
10540	1780	1
10540	1781	1
10540	2775	1
10540	70	1
10540	65108	1
10540	51164	1
10540	1783	1
2010	1499	1
2010	6714	1
2010	3845	1
2010	25	1
2010	57144	1
2010	4000	1
2010	6194	1
2010	821	1
2010	80342	1
2010	11077	1
2010	493856	1
2010	51075	1
2010	92344	1
2010	999	1
2010	5868	1
2010	9217	1
2010	56993	1
2010	3916	1
2010	8766	1
2653	84289	1
2771	2783	1
2771	3326	1
2771	4924	1
2771	150	1
2771	2782	1
2771	7846	1
2771	59345	1
2783	8848	1
2783	826	1
2783	2788	1
2783	10963	1
2783	10726	1
2783	2773	1
2783	2770	1
2783	3326	1
2783	310	1
2783	5162	1
2783	821	1
2783	51495	1
2783	5708	1
2783	5202	1
2783	2785	1
2783	156	1
2783	7283	1
2783	111	1
2783	2786	1
2783	25814	1
2783	84987	1
2783	7266	1
2948	84966	1
27131	3845	1
27131	23396	1
27131	11140	1
27131	51726	1
27131	999	1
27131	3916	1
4043	57142	1
4043	4035	1
4043	444	1
192111	29066	1
192111	3304	1
192111	65018	1
4714	773	1
4715	5930	1
4738	29979	1
4738	55611	1
4738	7316	1
4738	7345	1
10397	9796	1
10397	3845	1
10397	1781	1
10397	7430	1
10397	999	1
10397	6252	1
10397	3916	1
6133	8615	1
6133	7415	1
6133	2017	1
6133	23281	1
6133	6122	1
6133	6188	1
6189	6711	1
6189	6648	1
6189	25828	1
6189	4736	1
6189	6194	1
6189	8294	1
6189	8366	1
6189	6208	1
6421	51155	1
6421	7316	1
6421	5879	1
6421	23335	1
6421	70	1
6132	6487	1
6132	5501	1
6132	274	1
6132	6194	1
6853	6622	1
6853	6854	1
7114	71	1
7114	3866	1
7114	310	1
7114	3860	1
7114	11077	1
7114	26993	1
7114	84966	1
8848	7178	1
8848	2	1
8848	55611	1
8848	773	1
8848	23564	1
8848	10681	1
8848	5162	1
8848	6125	1
396	388	1
396	5879	1
396	51569	1
396	22933	1
396	6391	1
10072	3312	1
10072	509	1
55207	11059	1
55207	9551	1
826	5861	1
826	9551	1
1363	6092	1
25874	51660	1
25874	83851	1
8655	11345	1
8655	1780	1
8655	81565	1
8655	1781	1
8655	81488	1
8655	10243	1
8655	9229	1
8655	9454	1
8655	5414	1
8655	4644	1
8655	8537	1
10570	1808	1
10570	70	1
10570	7846	1
5601	2670	1
5601	1499	1
5601	4137	1
5601	1641	1
5601	1487	1
5601	7511	1
4140	2810	1
4140	3845	1
4140	4137	1
4140	23122	1
4140	9181	1
4140	527	1
4140	4133	1
4140	999	1
4140	3916	1
4140	9512	1
2788	4356	1
2788	10681	1
2788	2782	1
2788	2784	1
2788	59345	1
4190	4356	1
4190	2521	1
4190	1129	1
4356	11031	1
4356	7430	1
4356	55327	1
4356	6187	1
4356	6326	1
4356	8825	1
55968	23435	1
55968	5566	1
55968	7415	1
55968	6146	1
55968	1622	1
55968	999	1
55968	8125	1
23435	29979	1
79885	9796	1
4731	9796	1
4731	4723	1
6284	9796	1
23140	9796	1
5861	22924	1
5861	3845	1
5861	999	1
5861	6861	1
5861	6624	1
5861	3916	1
51155	999	1
51155	7846	1
6487	71	1
1314	1315	1
1314	8402	1
29888	1398	1
29888	5518	1
29888	4282	1
29888	29966	1
29888	55917	1
29888	6801	1
29888	5297	1
29888	6141	1
10094	6191	1
10094	80184	1
10094	10097	1
10094	57180	1
10094	4048	1
51660	70	1
10949	3181	1
10949	4000	1
10949	1655	1
10949	3188	1
10949	7203	1
4649	81488	1
1639	5223	1
1639	22924	1
1639	11021	1
1639	10982	1
1639	1780	1
1639	23043	1
1639	4137	1
1639	5870	1
1639	11140	1
1639	1781	1
1639	22919	1
1639	136319	1
1639	23530	1
1639	301	1
1639	10120	1
1639	11004	1
1639	23122	1
1639	166614	1
1639	1410	1
1639	3927	1
1639	2011	1
1639	157922	1
1639	1778	1
1639	9361	1
1639	9181	1
1639	10529	1
1639	3796	1
1639	4133	1
1639	51473	1
1639	4698	1
1639	10102	1
1639	113457	1
1639	10525	1
1639	4218	1
1639	10121	1
1639	115098	1
1639	70	1
1639	5862	1
1639	54862	1
1639	11160	1
1639	10213	1
1639	55201	1
1639	7384	1
1639	51164	1
1639	7278	1
1639	9729	1
1639	830	1
1639	6391	1
1639	3161	1
1639	4676	1
1639	55750	1
1639	9201	1
1639	2232	1
11269	6500	1
23136	6714	1
23136	3845	1
23136	25	1
23136	1398	1
23136	999	1
23136	84966	1
10236	202559	1
10236	4137	1
10236	25	1
10236	1398	1
10236	2193	1
10236	4000	1
10236	11059	1
50861	29979	1
50861	149371	1
50861	57524	1
50861	6855	1
50861	9789	1
5223	8502	1
6092	84152	1
6092	79682	1
22924	10982	1
22924	9659	1
22924	51056	1
22924	22919	1
22924	25828	1
22924	27063	1
11021	3420	1
5867	10640	1
5867	3419	1
5867	6648	1
5867	56850	1
5867	2664	1
5867	2665	1
5867	51143	1
5867	7879	1
4734	11345	1
4734	6531	1
4734	6622	1
4734	6714	1
4734	1020	1
4734	26519	1
4734	25	1
4734	2697	1
4734	7323	1
4734	10458	1
4734	7316	1
4734	4670	1
4734	6331	1
4734	146691	1
4734	23168	1
4734	1983	1
4734	51776	1
4734	4915	1
4734	2011	1
4734	5604	1
4734	156	1
4734	4133	1
4734	2257	1
4734	10067	1
4734	2629	1
4734	6142	1
4734	9693	1
4734	9962	1
6405	7317	1
581	6622	1
581	51100	1
581	5604	1
581	11077	1
581	9927	1
581	291	1
1740	23095	1
1740	57555	1
1740	54413	1
1740	9229	1
1740	2895	1
1740	6202	1
3854	27229	1
3854	3866	1
3854	3860	1
3854	3880	1
8996	140885	1
29979	26071	1
29979	7415	1
29979	7316	1
29979	55739	1
29979	54413	1
29979	7311	1
29979	2556	1
29979	2562	1
29979	2561	1
29979	5479	1
29979	11332	1
29979	6184	1
29979	2912	1
29979	118881	1
29979	51706	1
29979	3099	1
29979	7335	1
29979	2554	1
29979	2555	1
29979	2559	1
29979	51138	1
29979	91662	1
29979	7857	1
29979	6447	1
29979	9861	1
29979	51144	1
29979	55326	1
29979	6233	1
1073	60	1
1073	71	1
1073	11034	1
1073	10486	1
1073	70	1
1073	5862	1
60	71	1
60	11034	1
60	7178	1
60	81565	1
60	6336	1
60	11140	1
60	2	1
60	3312	1
60	10486	1
60	5216	1
60	10131	1
60	4736	1
60	1525	1
60	310	1
60	221184	1
60	23406	1
60	10576	1
60	70	1
60	131034	1
60	22948	1
60	832	1
60	9948	1
60	91662	1
27229	2670	1
27229	3866	1
27229	57144	1
27229	5255	1
10313	57142	1
10313	22908	1
10313	4000	1
10313	5780	1
10313	65009	1
10313	7781	1
10313	9363	1
149371	3866	1
149371	55770	1
149371	23281	1
149371	100287171	1
149371	3880	1
149371	51760	1
149371	51350	1
149371	23623	1
149371	6203	1
5704	10131	1
5704	51495	1
5704	5708	1
5704	5702	1
5704	5705	1
7251	3866	1
7251	7415	1
7251	5501	1
7251	27154	1
7251	2023	1
7251	515	1
7251	10058	1
7251	23513	1
7251	51056	1
7251	51079	1
7251	7316	1
7251	25930	1
7251	100287171	1
7251	3860	1
7251	56904	1
7251	3868	1
7251	11130	1
7251	8495	1
7251	8760	1
10656	202559	1
10656	3183	1
10656	27316	1
10656	5930	1
10656	773	1
10656	2521	1
10656	58155	1
2670	3866	1
2670	11140	1
2670	3860	1
2670	79165	1
2670	3880	1
2670	9852	1
2670	9729	1
71	11034	1
71	23043	1
71	11140	1
71	10486	1
71	28952	1
71	3692	1
71	23406	1
71	10487	1
71	51164	1
140885	3866	1
140885	3845	1
140885	11077	1
140885	999	1
11034	10476	1
56341	10492	1
56341	22832	1
56341	30000	1
202559	27316	1
3866	3853	1
3866	1329	1
3866	1678	1
3866	3856	1
3866	3852	1
3866	3849	1
3866	286887	1
3866	374454	1
3866	338785	1
3866	144501	1
3866	121457	1
3866	319101	1
3866	3880	1
3866	3848	1
3866	5705	1
3866	539	1
3866	9729	1
2810	999	1
2810	9729	1
10900	5912	1
10900	51760	1
10900	8907	1
10900	5911	1
3183	3845	1
3183	3181	1
3183	10992	1
3183	58155	1
3183	5257	1
3183	8907	1
3183	7417	1
3183	27044	1
3183	988	1
11345	140735	1
11345	63893	1
11345	55738	1
11345	5955	1
11345	5906	1
11345	6449	1
11345	23786	1
11345	6187	1
11345	5911	1
140735	1780	1
140735	9229	1
140735	9454	1
140735	5414	1
140735	25780	1
140735	4644	1
2954	7415	1
2954	5501	1
2954	25	1
23157	5413	1
23157	3845	1
23157	1398	1
23157	7430	1
23157	989	1
23157	4735	1
23157	10801	1
23157	55964	1
23157	1783	1
3853	23281	1
3853	4000	1
3853	6449	1
3853	3860	1
3853	3880	1
3853	3868	1
3853	3872	1
3853	83988	1
10982	22919	1
10982	4000	1
10982	25828	1
10982	8573	1
57142	6714	1
57142	25	1
57142	10458	1
57142	4000	1
57142	821	1
57142	83851	1
57142	999	1
57142	9294	1
57142	8775	1
57142	9363	1
1780	1781	1
1780	10726	1
1780	6158	1
1780	10910	1
1780	310	1
1780	989	1
1780	1778	1
1780	2288	1
1780	5202	1
1780	3880	1
1780	10575	1
1780	10694	1
1780	10576	1
1780	10121	1
1780	22948	1
1780	51143	1
1780	8867	1
1780	51164	1
1780	1783	1
1780	83658	1
1780	6950	1
1780	199731	1
1780	7266	1
1780	908	1
27316	29066	1
27316	2521	1
27316	54106	1
27316	378950	1
2752	5930	1
2752	91662	1
2580	8615	1
2580	3312	1
54906	1329	1
54906	3329	1
54906	26086	1
54906	11077	1
54906	9522	1
54906	80823	1
5700	1398	1
5700	5708	1
5700	23770	1
5700	5701	1
10053	5864	1
10053	2	1
10053	9545	1
875	7168	1
4830	29066	1
4830	5879	1
4830	4831	1
4830	30000	1
6717	310	1
8615	999	1
22941	8874	1
22941	6714	1
22941	5530	1
22941	1398	1
22941	2017	1
22941	10458	1
22941	9456	1
22941	22859	1
22941	9229	1
22941	999	1
50944	8874	1
50944	10458	1
50944	9456	1
50944	57555	1
50944	22859	1
50944	7311	1
50944	9229	1
50944	8294	1
50944	8366	1
6531	6622	1
5566	6714	1
5566	4137	1
5566	4155	1
5566	10059	1
5566	1398	1
5566	2571	1
5566	2931	1
5566	2081	1
5566	310	1
5566	3927	1
5566	10672	1
5566	5577	1
5566	2572	1
5566	5144	1
5566	25780	1
5566	65018	1
5566	11214	1
5566	1576	1
5566	523	1
5566	56993	1
7165	3845	1
7165	51100	1
7165	57460	1
7165	999	1
7165	1783	1
50807	9659	1
50807	6714	1
50807	25	1
50807	1398	1
50807	2017	1
50807	7430	1
50807	9181	1
50807	999	1
50807	8853	1
8497	80852	1
8497	80331	1
8497	26059	1
23085	22999	1
23085	5870	1
23085	1781	1
23085	22832	1
23085	999	1
23085	80331	1
23085	11228	1
23085	9662	1
22866	57554	1
22866	23043	1
57554	9454	1
57554	1501	1
57554	999	1
57554	818	1
57554	8502	1
57554	81	1
8874	5582	1
8874	5062	1
8874	4155	1
8874	85358	1
8874	23513	1
8874	10381	1
23095	11315	1
23095	9223	1
23095	5236	1
23095	11261	1
2915	5501	1
2915	9456	1
2915	5578	1
2915	87	1
80852	25	1
80852	1398	1
2902	5578	1
2902	818	1
7415	11315	1
7415	5688	1
7415	10211	1
7415	2931	1
7415	51079	1
7415	25930	1
7415	25932	1
7415	6844	1
7415	22872	1
7415	3094	1
7415	1500	1
7415	9448	1
7415	9927	1
7415	1327	1
7415	10121	1
7415	164	1
7415	10953	1
7415	2746	1
7415	26985	1
7415	25796	1
7415	5707	1
7415	586	1
7415	2767	1
7415	23071	1
7415	23576	1
7415	1783	1
7415	57026	1
7415	55748	1
7415	30	1
7415	521	1
7415	231	1
7415	83658	1
7415	8943	1
54039	58155	1
54039	9782	1
2395	87	1
2395	9512	1
2395	9054	1
5582	10640	1
5582	1499	1
5582	5037	1
5582	4137	1
5582	2697	1
5582	3146	1
5582	6812	1
5582	2931	1
5582	4082	1
5582	3326	1
5582	310	1
5582	80331	1
5582	2566	1
5582	7153	1
10640	1000	1
10640	30000	1
10640	51552	1
10640	382	1
10640	53916	1
10640	57180	1
6285	114569	1
6285	829	1
26355	3326	1
5413	3845	1
5413	989	1
5413	151011	1
5413	4735	1
5413	4656	1
5413	5414	1
5413	55752	1
7178	476	1
7178	5052	1
7178	5930	1
7178	6009	1
7178	3313	1
7178	8864	1
7178	84790	1
6513	8766	1
6622	4067	1
6622	9659	1
6622	6714	1
6622	1509	1
6622	25	1
6622	7316	1
6622	1410	1
6622	80331	1
6622	11076	1
6622	5550	1
6622	2869	1
5062	4067	1
5062	6714	1
5062	4155	1
5062	25	1
5062	2017	1
5062	5879	1
5062	8780	1
5062	999	1
4067	3845	1
4067	2023	1
4067	7316	1
4067	3326	1
4067	3493	1
1499	6714	1
1499	1454	1
1499	3845	1
1499	25	1
1499	2931	1
1499	23513	1
1499	2521	1
1499	3094	1
1499	29966	1
1499	999	1
1499	81	1
1499	9223	1
1499	6500	1
1499	3916	1
1499	7153	1
81565	1020	1
81565	287	1
81565	23281	1
81565	11004	1
81565	288	1
81565	8573	1
81565	80342	1
81565	203068	1
81565	8997	1
81565	4644	1
81565	9662	1
10492	3192	1
10492	6152	1
5160	5162	1
5160	3692	1
5160	5163	1
5160	38	1
5160	5164	1
5160	54704	1
55770	55275	1
476	9131	1
476	3845	1
476	2	1
476	5595	1
476	5578	1
476	501	1
476	481	1
476	94081	1
2195	9454	1
23043	9659	1
23043	6711	1
23043	3845	1
23043	287	1
23043	27445	1
23043	347733	1
23043	1808	1
23043	7430	1
23043	1655	1
23043	1778	1
23043	288	1
23043	547	1
23043	4741	1
23043	1809	1
23043	5701	1
23043	23347	1
23043	22843	1
23043	55689	1
23043	4719	1
23043	3916	1
23043	1783	1
23043	7280	1
23043	9901	1
3799	5479	1
3799	5577	1
3799	11077	1
3799	999	1
3799	3746	1
3799	988	1
3799	9693	1
9659	3845	1
9659	23281	1
9659	22919	1
9659	125	1
9659	5837	1
9659	55697	1
9659	79165	1
9659	54927	1
9659	23526	1
9659	5144	1
9659	8682	1
9659	988	1
8499	5518	1
8499	26059	1
8499	8541	1
8499	8495	1
8499	988	1
6711	6708	1
6711	6709	1
6711	3845	1
6711	6812	1
6711	23236	1
6711	1315	1
6711	157922	1
6711	1384	1
6711	288	1
6711	999	1
6711	131034	1
6711	988	1
6714	3845	1
6714	4137	1
6714	4155	1
6714	23396	1
6714	85358	1
6714	25	1
6714	1398	1
6714	2799	1
6714	6137	1
6714	6237	1
6714	2023	1
6714	2017	1
6714	775	1
6714	22919	1
6714	4035	1
6714	5516	1
6714	229	1
6714	310	1
6714	9229	1
6714	5604	1
6714	23162	1
6714	3098	1
6714	999	1
6714	3099	1
6714	1947	1
6714	5286	1
6714	116987	1
6714	8853	1
6714	79065	1
11315	25	1
11315	6647	1
11315	999	1
11315	6855	1
9131	26519	1
9131	10059	1
9131	9748	1
9131	515	1
9131	51079	1
9131	4513	1
9131	10452	1
9131	7385	1
9131	1329	1
9131	26517	1
9131	26521	1
9131	7295	1
9131	3301	1
9131	4720	1
9131	2744	1
9131	488	1
9131	1678	1
9131	3954	1
9131	54927	1
9131	25813	1
9131	498	1
9131	55735	1
9131	522	1
9131	4698	1
9131	80273	1
9131	4722	1
9131	26993	1
9131	54940	1
9131	3098	1
9131	54205	1
9131	8001	1
9131	10965	1
9131	10469	1
9131	1327	1
9131	10476	1
9131	5245	1
9131	4723	1
9131	506	1
