1,Active zone proteins,8495
1,Active zone proteins,22999
1,Active zone proteins,8927
1,Active zone proteins,8573
1,Active zone proteins,26059
1,Active zone proteins,8497
1,Active zone proteins,27445
1,Active zone proteins,8499
2,Adhesion and cell surface molecules,7070
2,Adhesion and cell surface molecules,3241
2,Adhesion and cell surface molecules,92840
2,Adhesion and cell surface molecules,140885
2,Adhesion and cell surface molecules,27020
2,Adhesion and cell surface molecules,961
2,Adhesion and cell surface molecules,57863
2,Adhesion and cell surface molecules,4684
2,Adhesion and cell surface molecules,1499
2,Adhesion and cell surface molecules,2596
2,Adhesion and cell surface molecules,8502
2,Adhesion and cell surface molecules,1501
2,Adhesion and cell surface molecules,2823
2,Adhesion and cell surface molecules,2824
2,Adhesion and cell surface molecules,3208
2,Adhesion and cell surface molecules,8506
2,Adhesion and cell surface molecules,1500
2,Adhesion and cell surface molecules,1496
3,Centrosome,80184
3,Centrosome,9814
4,"Channels, transporter and receptors",57468
4,"Channels, transporter and receptors",6543
4,"Channels, transporter and receptors",6515
4,"Channels, transporter and receptors",491
4,"Channels, transporter and receptors",490
4,"Channels, transporter and receptors",3708
4,"Channels, transporter and receptors",10999
4,"Channels, transporter and receptors",478
4,"Channels, transporter and receptors",476
4,"Channels, transporter and receptors",481
4,"Channels, transporter and receptors",6506
4,"Channels, transporter and receptors",781
4,"Channels, transporter and receptors",784
4,"Channels, transporter and receptors",3778
4,"Channels, transporter and receptors",348980
4,"Channels, transporter and receptors",51311
4,"Channels, transporter and receptors",1185
4,"Channels, transporter and receptors",6507
4,"Channels, transporter and receptors",6548
4,"Channels, transporter and receptors",6529
5,Chaperones,3312
5,Chaperones,3320
5,Chaperones,55466
5,Chaperones,55735
5,Chaperones,5034
5,Chaperones,9093
5,Chaperones,10131
6,Cytoskeletal and associated proteins,64423
6,Cytoskeletal and associated proteins,1778
6,Cytoskeletal and associated proteins,80309
6,Cytoskeletal and associated proteins,6645
6,Cytoskeletal and associated proteins,10801
6,Cytoskeletal and associated proteins,196385
6,Cytoskeletal and associated proteins,7277
6,Cytoskeletal and associated proteins,10381
6,Cytoskeletal and associated proteins,10382
6,Cytoskeletal and associated proteins,203068
6,Cytoskeletal and associated proteins,4644
6,Cytoskeletal and associated proteins,6710
6,Cytoskeletal and associated proteins,7846
6,Cytoskeletal and associated proteins,3796
6,Cytoskeletal and associated proteins,989
6,Cytoskeletal and associated proteins,58
6,Cytoskeletal and associated proteins,10097
6,Cytoskeletal and associated proteins,23176
6,Cytoskeletal and associated proteins,5413
6,Cytoskeletal and associated proteins,5339
6,Cytoskeletal and associated proteins,60
6,Cytoskeletal and associated proteins,6711
6,Cytoskeletal and associated proteins,6709
6,Cytoskeletal and associated proteins,4628
6,Cytoskeletal and associated proteins,6101
6,Cytoskeletal and associated proteins,7402
6,Cytoskeletal and associated proteins,30968
6,Cytoskeletal and associated proteins,287
6,Cytoskeletal and associated proteins,55964
6,Cytoskeletal and associated proteins,27130
6,Cytoskeletal and associated proteins,23095
6,Cytoskeletal and associated proteins,146754
6,Cytoskeletal and associated proteins,8655
6,Cytoskeletal and associated proteins,87
6,Cytoskeletal and associated proteins,1768
7,Endocytosis-related proteins,1173
7,Endocytosis-related proteins,1175
7,Endocytosis-related proteins,160
7,Endocytosis-related proteins,161
7,Endocytosis-related proteins,163
7,Endocytosis-related proteins,56904
7,Endocytosis-related proteins,5799
7,Endocytosis-related proteins,1213
7,Endocytosis-related proteins,10211
7,Endocytosis-related proteins,2319
8,ER/Golgi,6252
8,ER/Golgi,2081
8,ER/Golgi,57142
8,ER/Golgi,56255
8,ER/Golgi,488
8,ER/Golgi,821
8,ER/Golgi,27095
8,ER/Golgi,55738
9,Extracellular,722
9,Extracellular,83872
9,Extracellular,6487
9,Extracellular,338
10,Metabolic enzymes,1152
10,Metabolic enzymes,2821
10,Metabolic enzymes,2597
10,Metabolic enzymes,51056
10,Metabolic enzymes,5213
10,Metabolic enzymes,5214
10,Metabolic enzymes,501
10,Metabolic enzymes,2752
10,Metabolic enzymes,9060
10,Metabolic enzymes,151313
11,mitochondria,90550
11,mitochondria,84987
11,mitochondria,8402
11,mitochondria,622
11,mitochondria,11112
11,mitochondria,4357
11,mitochondria,5019
11,mitochondria,18
11,mitochondria,8508
11,mitochondria,38
11,mitochondria,50
11,mitochondria,23305
11,mitochondria,23597
11,mitochondria,28976
11,mitochondria,37
11,mitochondria,55750
11,mitochondria,219
11,mitochondria,80834
11,mitochondria,4128
11,mitochondria,515
11,mitochondria,10476
11,mitochondria,521
11,mitochondria,9551
11,mitochondria,522
11,mitochondria,10632
11,mitochondria,498
11,mitochondria,513
11,mitochondria,514
11,mitochondria,509
11,mitochondria,55210
11,mitochondria,93974
11,mitochondria,22
11,mitochondria,549
11,mitochondria,617
11,mitochondria,670
11,mitochondria,25874
11,mitochondria,51660
11,mitochondria,10165
11,mitochondria,55847
11,mitochondria,1431
11,mitochondria,54927
11,mitochondria,84303
11,mitochondria,708
11,mitochondria,548596
11,mitochondria,4519
11,mitochondria,51706
11,mitochondria,1727
11,mitochondria,4512
11,mitochondria,4513
11,mitochondria,4514
11,mitochondria,1327
11,mitochondria,1329
11,mitochondria,9167
11,mitochondria,1349
11,mitochondria,9377
11,mitochondria,1337
11,mitochondria,1340
11,mitochondria,1345
11,mitochondria,1347
11,mitochondria,1350
11,mitochondria,54205
11,mitochondria,1537
11,mitochondria,3052
11,mitochondria,84833
11,mitochondria,7818
11,mitochondria,1738
11,mitochondria,1737
11,mitochondria,1743
11,mitochondria,2108
11,mitochondria,2110
11,mitochondria,9941
11,mitochondria,1892
11,mitochondria,8209
11,mitochondria,51024
11,mitochondria,26515
11,mitochondria,2271
11,mitochondria,81889
11,mitochondria,2631
11,mitochondria,2746
11,mitochondria,2806
11,mitochondria,2744
11,mitochondria,2820
11,mitochondria,80273
11,mitochondria,3336
11,mitochondria,3329
11,mitochondria,3313
11,mitochondria,3098
11,mitochondria,29078
11,mitochondria,4705
11,mitochondria,10989
11,mitochondria,27068
11,mitochondria,3418
11,mitochondria,3419
11,mitochondria,3420
11,mitochondria,3421
11,mitochondria,3954
11,mitochondria,9361
11,mitochondria,4191
11,mitochondria,10873
11,mitochondria,10651
11,mitochondria,51081
11,mitochondria,506
11,mitochondria,539
11,mitochondria,23787
11,mitochondria,23788
11,mitochondria,92014
11,mitochondria,83733
11,mitochondria,51537
11,mitochondria,64978
11,mitochondria,51373
11,mitochondria,10240
11,mitochondria,92259
11,mitochondria,3030
11,mitochondria,9927
11,mitochondria,4698
11,mitochondria,126328
11,mitochondria,4694
11,mitochondria,55967
11,mitochondria,51079
11,mitochondria,4695
11,mitochondria,4697
11,mitochondria,4700
11,mitochondria,4701
11,mitochondria,4702
11,mitochondria,4704
11,mitochondria,4710
11,mitochondria,4714
11,mitochondria,54539
11,mitochondria,4711
11,mitochondria,4712
11,mitochondria,4713
11,mitochondria,4715
11,mitochondria,4706
11,mitochondria,4718
11,mitochondria,4719
11,mitochondria,4720
11,mitochondria,4722
11,mitochondria,4724
11,mitochondria,4725
11,mitochondria,374291
11,mitochondria,4728
11,mitochondria,4723
11,mitochondria,4729
11,mitochondria,4731
11,mitochondria,4535
11,mitochondria,4538
11,mitochondria,4540
11,mitochondria,4696
11,mitochondria,4942
